date,away,home,market,selection,line,hk_odds,effective_model_probability,market_no_vig_probability,fair_decimal_odds,ev,minimum_decimal_odds,model_expectation,line_expectation,expectation_gap,class_at_analysis,actual_stake
2026-08-26,Yokohama DeNA BayStars,Hiroshima Carp,spread,Yokohama DeNA BayStars,1-50,0.950,0.3742,0.5000,2.673,-0.2463,2.790,0.258,1.250,-0.992,PASS,0
2026-08-26,Yokohama DeNA BayStars,Hiroshima Carp,spread,Hiroshima Carp,1-50,0.950,0.6258,0.5000,1.598,0.2007,1.668,0.258,1.250,-0.992,WATCH,0
2026-08-26,Yokohama DeNA BayStars,Hiroshima Carp,total,over,6-50,0.930,0.4620,0.5000,2.165,-0.1035,2.255,6.309,6.250,+0.059,PASS,0
2026-08-26,Yokohama DeNA BayStars,Hiroshima Carp,total,under,6-50,0.930,0.5380,0.5000,1.859,0.0367,1.936,6.309,6.250,+0.059,PASS,0
2026-08-26,Yomiuri Giants,Tokyo Yakult Swallows,spread,Yomiuri Giants,1+50,0.950,0.4801,0.5000,2.083,-0.0587,2.174,0.309,0.750,-0.441,PASS,0
2026-08-26,Yomiuri Giants,Tokyo Yakult Swallows,spread,Tokyo Yakult Swallows,1+50,0.950,0.5199,0.5000,1.923,0.0127,2.007,0.309,0.750,-0.441,PASS,0
2026-08-26,Yomiuri Giants,Tokyo Yakult Swallows,total,over,7+75,0.930,0.5158,0.5000,1.939,-0.0044,2.019,7.187,6.625,+0.562,PASS,0
2026-08-26,Yomiuri Giants,Tokyo Yakult Swallows,total,under,7+75,0.930,0.4842,0.5000,2.065,-0.0636,2.150,7.187,6.625,+0.562,PASS,0
2026-08-26,Hokkaido Nippon-Ham Fighters,Saitama Seibu Lions,spread,Hokkaido Nippon-Ham Fighters,1+40,0.950,0.4329,0.5000,2.310,-0.1403,2.413,-0.013,0.800,-0.813,PASS,0
2026-08-26,Hokkaido Nippon-Ham Fighters,Saitama Seibu Lions,spread,Saitama Seibu Lions,1+40,0.950,0.5671,0.5000,1.763,0.0953,1.842,-0.013,0.800,-0.813,WATCH,0
2026-08-26,Hokkaido Nippon-Ham Fighters,Saitama Seibu Lions,total,over,6.5,0.930,0.4876,0.5000,2.051,-0.0589,2.133,6.753,6.500,+0.253,PASS,0
2026-08-26,Hokkaido Nippon-Ham Fighters,Saitama Seibu Lions,total,under,6.5,0.930,0.5124,0.5000,1.952,-0.0111,2.030,6.753,6.500,+0.253,PASS,0
2026-08-26,Fukuoka SoftBank Hawks,Chiba Lotte Marines,spread,Fukuoka SoftBank Hawks,2+70,0.950,0.5006,0.5000,1.998,-0.0233,2.080,2.019,1.650,+0.369,PASS,0
2026-08-26,Fukuoka SoftBank Hawks,Chiba Lotte Marines,spread,Chiba Lotte Marines,2+70,0.950,0.4994,0.5000,2.002,-0.0254,2.085,2.019,1.650,+0.369,PASS,0
2026-08-26,Fukuoka SoftBank Hawks,Chiba Lotte Marines,total,over,8+50,0.930,0.5630,0.5000,1.776,0.0833,1.850,9.149,7.750,+1.399,WATCH,0
2026-08-26,Fukuoka SoftBank Hawks,Chiba Lotte Marines,total,under,8+50,0.930,0.4370,0.5000,2.288,-0.1507,2.383,9.149,7.750,+1.399,PASS,0
2026-08-26,Hanshin Tigers,Chunichi Dragons,spread,Hanshin Tigers,1+50,0.950,0.4817,0.5000,2.076,-0.0554,2.167,0.335,0.750,-0.415,PASS,0
2026-08-26,Hanshin Tigers,Chunichi Dragons,spread,Chunichi Dragons,1+50,0.950,0.5183,0.5000,1.929,0.0098,2.014,0.335,0.750,-0.415,PASS,0
2026-08-26,Hanshin Tigers,Chunichi Dragons,total,over,7平,0.930,0.3928,0.5000,2.546,-0.2132,2.661,6.534,7.000,-0.466,PASS,0
2026-08-26,Hanshin Tigers,Chunichi Dragons,total,under,7平,0.930,0.6072,0.5000,1.647,0.1515,1.722,6.534,7.000,-0.466,WATCH,0
2026-08-26,Tohoku Rakuten Golden Eagles,Orix Buffaloes,spread,Orix Buffaloes,0,0.950,0.5002,0.5000,1.999,-0.0242,2.081,0.002,0.000,+0.002,PASS,0
2026-08-26,Tohoku Rakuten Golden Eagles,Orix Buffaloes,spread,Tohoku Rakuten Golden Eagles,0,0.950,0.4998,0.5000,2.001,-0.0249,2.082,0.002,0.000,+0.002,PASS,0
2026-08-26,Tohoku Rakuten Golden Eagles,Orix Buffaloes,total,over,7-75,0.930,0.3870,0.5000,2.584,-0.2456,2.691,6.822,7.375,-0.553,PASS,0
2026-08-26,Tohoku Rakuten Golden Eagles,Orix Buffaloes,total,under,7-75,0.930,0.6130,0.5000,1.631,0.1776,1.699,6.822,7.375,-0.553,WATCH,0
